the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.73187363949855 40.712271734464274),4,Queens,413,27,33,14,5,2440,1112,Health Care Facilities,backless,05/07/2014,222-02 Hempstead Avenue,222-02 Hempstead Avenue,Hempstead Avenue,222nd Street and 223rd Street,Queens,413,Not Applicable,Not Applicable,40.71228,-73.731875,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75318163904649 40.60298875595709),4,Queens,414,31,23,10,5,2446,1644,Plaza,backed,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602997,-73.753183,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.84246460538915 40.68037874398751),4,Queens,410,32,38,15,8,2953,647,Municipal Facilities,backless,12/22/2014,96-05 Rockaway Boulevard,96-05 Rockaway Boulevard,Rockaway Boulevard,97th Street & Liberty Avenue,Queens,410,Q7,Not Applicable,40.680387,-73.842466,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.7627006294882 40.71336873507958),4,Queens,412,27,29,14,5,4043,308,Bus Route,backless 2,05/09/2018,197-00 Jamaica Avenue,197-00 Jamaica Avenue,Jamaica Avenue,Woodhull Avenue & Carpenter Avenue,Queens,412,Q111,Not Applicable,40.713377,-73.762702,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90981858077356 40.745515733812084),4,Queens,402,26,30,12,14,2540,899,Municipal Facilities,backed,06/17/2014,54-22 Skillman Avenue,54-22 Skillman Avenue,Skillman Avenue,54th Street and 55th Street,Queens,402,Not Applicable,Not Applicable,40.745524,-73.90982,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,0,Plaza,backless,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76719763566578 40.59377075843391),4,Queens,414,31,23,15,5,2854,1456,Municipal Facilities,backed,12/02/2014,180 Beach 35th Street,180 Beach 35th Street,Beach 35th Street,Edgemere Avenue and Boardwalk,Queens,414,Not Applicable,Not Applicable,40.593779,-73.767199,AE,,1
POINT (-73.73128663691688 40.760556724680995),4,Queens,411,23,26,11,3,2979,1485,Municipal Facilities,backless,01/28/2015,249-04 Horace Harding Expressway,249-04 Horace Harding Expressway,Horace Harding Expressway,Marathon Parkway and 251st Street,Queens,411,Q30,Not Applicable,40.760565,-73.731288,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83656661394733 40.57868176402579),4,Queens,414,32,23,15,5,1952,0,BID,backed,,137 Beach 116th Street,137 Beach 116th Street,Beach 116th Street,Boardwalk & Rockaway Beach Blvd,Queens,414,Not Applicable,Beach 116th Street Partnership,40.57869,-73.836568,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.91220658171267 40.718926739402065),4,Queens,405,30,37,12,7,2750,1567,Municipal Facilities,backed,11/14/2014,58-74 57th Street,58-74 57th Street,57th Street,Grand Avenue & Flushing Avenue,Queens,405,Not Applicable,Not Applicable,40.718935,-73.912208,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,388,Plaza,backed 2,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84795860261467 40.697952741074),4,Queens,409,32,38,15,7,3251,2080,Municipal Facilities,backed,05/17/2016,84-40 101 Street,84-40 101 st Street,101 st Street,85th Road & Park Lane South,Queens,409,Not Applicable,Not Applicable,40.697961,-73.84796,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83210860789174 40.70101374023239),4,Queens,409,29,27,10,5,2295,1106,General,backed,12/09/2013,118-14 Hillside Avenue,118-14 Hillside Avenue,Hillside Avenue,Lefferts Blvd & Babbage Street,Queens,409,Not Applicable,Not Applicable,40.701022,-73.83211,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92023857687118 40.74487073460982),4,Queens,402,26,37,12,14,1939,689,BID,backed,07/26/2013,44-01 44th Street,44-01 44th Street,44th Street,Greenpoint Avenue & 47th Avenue,Queens,402,Not Applicable,Sunnyside Shines,40.744879,-73.92024,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91085357799209 40.77600872812172),4,Queens,401,22,36,12,14,3512,2244,General,backed,11/30/2016,22-04 31st Street,22-04 31st Street,31st Street,Ditmars Blvd & 23rd Avenue,Queens,401,Not Applicable,Not Applicable,40.776017,-73.910855,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81695661039437 40.74863072974436),4,Queens,407,20,25,16,6,4046,241,Bus Route,backless 2,05/09/2018,48-15 Kissena Boulevard,48-15 Kissena Boulevard,Kissena Boulevard,Negundo Avenue & Mulberry Avenue,Queens,407,Q17,Not Applicable,40.748639,-73.816958,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88589558752469 40.749581732189995),4,Queens,403,25,39,13,14,1965,797,General,backed,07/08/2013,80-21 37th Avenue,80-21 37th Avenue,37th Avenue,80th & 81st Street,Queens,403,Not Applicable,Not Applicable,40.74959,-73.885897,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.73199563925124 40.72061073292886),4,Queens,413,23,33,14,5,2799,1425,Municipal Facilities,backed,11/20/2014,222-14 Jamaica Avenue,222-14 Jamaica Avenue,Jamaica Avenue,222nd Street & 224th Street,Queens,413,Not Applicable,Not Applicable,40.720619,-73.731997,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87252859285356 40.73578373470087),4,Queens,404,25,35,16,6,2974,1135,Municipal Facilities,backless,11/24/2014,90-02 56th Avenue,56-89 90th Street,90th Street,56th Avenue & 57th Avenue,Queens,404,Q59,Not Applicable,40.735792,-73.87253,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.8838443201576 40.747057010640525),4,Queens,404,25,39,16,14,1520,478,BID,backed,12/11/2012,40-20 82nd Street,40-20 82nd Street,82nd Street,Roosevelt Avenue and Ithaca Street,Queens,404,Not Applicable,82nd Street,40.7470570106,-73.8838443202,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9119135823409 40.703500742096814),4,Queens,405,34,38,12,7,2752,1421,Municipal Facilities,backed,11/14/2014,599 Cypress Avenue,599 Cypress Avenue,Cypress Avenue,Bleecker Street & Menahan Street,Queens,405,Not Applicable,Not Applicable,40.703509,-73.911915,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87376759094352 40.7542327312668),4,Queens,403,25,34,13,14,2746,1431,Municipal Facilities,backed,11/12/2014,34-20 94th Street,34-20 94th Street,94th Street,East 184th Street & East 185th Street,Queens,403,Not Applicable,Not Applicable,40.754241,-73.873769,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81507074277788 40.730292715496574),4,Queens,408,24,27,16,6,3036,1991,General,backless,02/03/2015,70-62 Kissena Boulevard,70-62 Kissena Boulevard,Kissena Boulevard,70th Road and 71st Avenue,Queens,408,Q25,Not Applicable,40.7302927155,-73.8150707428,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79836661902708 40.70538673738231),4,Queens,412,24,32,14,5,2073,0,Community Health Centers,,,89-56 162nd Street,89-56 162nd Street,162nd Street,69th Avenue and Jamaica Avenue,Queens,412,Not Applicable,Not Applicable,40.705395,-73.798368,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88370158836896 40.75153973199658),4,Queens,403,25,39,13,14,2362,1341,Senior Center,backed,02/07/2014,35-24 83rd Street,35-24 83rd Street,83rd Street,35th & 37th Avenue,Queens,403,Not Applicable,Not Applicable,40.751548,-73.883703,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82672761049666 40.68974574167789),4,Queens,409,28,24,10,5,3249,0,Municipal Facilities,,,118-01 101st Avenue,118-01 101st Avenue,118th Street,101st Avenue & 97th Avenue,Queens,409,Not Applicable,Not Applicable,40.689754,-73.826729,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8292506055745 40.75777572875057),4,Queens,407,20,40,16,6,440,833,Bus Route,backless,09/23/2013,41-17 Main Street,41-08 Kissena Boulevard,Kissena Boulevard,Main Street,Queens,407,Q27,Not Applicable,40.757784,-73.829252,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87229359470719 40.71325973867457),4,Queens,405,30,28,15,6,2966,1670,General,backed,01/29/2015,79-62 Metropolitan Avenue,79-62 Metropolitan Avenue,80th Street,79th Place and 80th Street,Queens,405,Q47,Not Applicable,40.713268,-73.872295,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82765560979558 40.693732741550086),4,Queens,409,28,24,10,5,563,127,Bus Route,backless,06/29/2012,119-02 94th Avenue,94-13 Lefferts Boulevard,Lefferts Boulevard,94th and 95th Avenues,Queens,409,Q10,Not Applicable,40.693741,-73.827657,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89745458513146 40.7247667378501),4,Queens,405,30,30,15,6,646,587,Bus Route,backless,04/16/2013,66-62 Grand Avenue,66-62 Grand Avenue,Grand Avenue,Queens Midtown Expressway & Hamilton Place,Queens,405,Q58,Not Applicable,40.724775,-73.897456,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88325058938581 40.74309573296302),4,Queens,404,25,39,16,6,3011,1922,General,backed,01/29/2015,81-25 Broadway,81-25 Broadway,Broadway,Pettit Avenue and Britton Avenue,Queens,404,Not Applicable,Not Applicable,40.743104,-73.883252,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83909560009208 40.78566572303992),4,Queens,407,19,27,11,14,2026,823,General,backed,07/31/2013,129-21 14th Avenue,129-21 14th Avenue,14th Avenue,129th & 130th Street,Queens,407,Q20B,Not Applicable,40.785674,-73.839097,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91642018934142 40.757751346864964),4,Queens,401,26,30,12,14,4152,581,General,backed 2,06/28/2019,43-12 Broadway,43-12 Broadway,Broadway,43 Street & 44 Street,Queens,401,Not Applicable,Not Applicable,40.7577513469,-73.9164201893,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88401158902951 40.73325673541511),4,Queens,404,25,30,16,6,1805,427,General,backless,02/14/2013,83-07 Grand Avenue,83-07 Grand Avenue,Grand Avenue,Calamus Avenue and 83rd Street,Queens,404,Q58,Not Applicable,40.733265,-73.884013,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,375,Plaza,backed 2,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87860358917453 40.75626873091829),4,Queens,403,25,34,13,14,2003,923,General,backless,09/27/2013,89-19 Northern Boulevard,89-19 Northern Boulevard,Northern Boulevard,89th & 90th Street,Queens,403,Q66,Not Applicable,40.756277,-73.878605,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9324475733938 40.744762734606475),4,Queens,402,26,37,12,12,3314,527,Municipal Facilities,backed,07/06/2016,32-23 Queens Boulevard,32-23 Queens Boulevard,Queens Boulevard,32nd Place & 33rd Street,Queens,402,Not Applicable,Not Applicable,40.744771,-73.932449,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91855757679308 40.76201573098392),4,Queens,401,22,36,12,12,3364,1735,General,backed,07/19/2016,37-01 31st Avenue,37-01 31st Avenue,37th Street,37th Street & 38th Street,Queens,401,Not Applicable,Not Applicable,40.762024,-73.918559,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84300460588953 40.67136074617469),4,Queens,410,32,23,15,8,4226,793,Bus Route,backed 2,01/24/2019,137-20 CROSS BAY BLVD,137-20 CROSS BAY BLVD,CROSS BAY BLVD,Pitkin Avenue & Van Wicklen Road,Queens,410,Q52,Not Applicable,40.671369,-73.843006,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95153956730736 40.74312873585459),4,Queens,402,26,37,12,12,2814,1413,General,backed,10/29/2014,10-93 Jackson Avenue,10-93 Jackson Avenue,11th Street,11th Street and 49th Avenue,Queens,402,B62,Not Applicable,40.743137,-73.951541,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.82888160530916 40.756913728564705),4,Queens,407,20,40,16,6,495,145,Bus Route,backless,06/20/2012,41-51 Main Street (136-05 Sanford Avenue),41-57 Main Street,Main Street,Sanford Avenue and 41st Road,Queens,407,Q44,Not Applicable,40.756922,-73.828883,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87261259404808 40.718428738076305),4,Queens,405,30,30,15,6,3174,2011,General,backed,04/13/2016,64-59 Dry Harbor Road,64-59 Dry Harbor Road,Dry Harbor Road,64th Road & Furmanville Avenue,Queens,405,Q29,Not Applicable,40.718437,-73.872614,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78548862917616 40.595008759091215),4,Queens,414,31,31,10,5,4236,466,Bus Route,backless,02/05/2019,5422 Beach Channel Drive,5422 Beach Channel Drive,Beach Channel Drive,Beach 54th Street & Beach 55th Street,Queens,414,Q53,Not Applicable,40.595017,-73.78549,AE,,1
POINT (-73.84733360128226 40.72211173592063),4,Queens,406,29,28,16,6,1174,323,Senior Center,backed,12/12/2012,106-06 Queens Boulevard,106-06 Queens Boulevard,69th Road,Austin Street and Queens Boulevard,Queens,406,Not Applicable,Not Applicable,40.72212,-73.847335,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84562460463918 40.68905174220298),4,Queens,409,32,38,10,7,4035,675,Bus Route,backless,04/27/2018,97-04 Atlantic Avenue,97-04 Atlantic Avenue,Atlantic Avenue,96th Street & 100th Street,Queens,409,Q24,Not Applicable,40.68906,-73.845626,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90861258299182 40.70153074283947),4,Queens,405,34,38,12,7,3501,117,Bus Route,backless 2,04/20/2017,712 Cypress Avenue,712 Cypress Avenue,Cypress Avenue,Palmetto Street & Woodbine Street,Queens,405,Q58,Not Applicable,40.701539,-73.908614,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92092257553966 40.77081172939757),4,Queens,401,22,36,12,12,3084,1865,General,backed,09/10/2015,27-02 Astoria Boulevard,27-02 Astoria Boulevard,Astoria Boulevard,Crescent Street & 28th Street,Queens,401,Not Applicable,Not Applicable,40.77082,-73.920924,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86068659525448 40.756061729779226),4,Queens,403,21,35,13,14,3362,1382,Municipal Facilities,backless,09/07/2016,34-10 108th Street,34-10 108th Street,108th Street,34th Avenue & 35th Avenue,Queens,403,Q48,Not Applicable,40.75607,-73.860688,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75655762943882 40.7496797275528),4,Queens,411,23,25,16,6,4162,669,General,backed 2,03/14/2019,221-15 Horace Harding Expressway,221-15 Horace Harding Expressway,Horace Harding Expressway,Springfield Boulevard & 223rd Place,Queens,411,Not Applicable,Not Applicable,40.749688,-73.756559,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89863589618182 40.712610550205596),4,Queens,405,30,28,15,6,2527,691,General,backless,11/19/2014,62-16 Metropolitan Avenue,62-16 Metropolitan Avenue,Metropolitan Avenue,Fresh Pond Road and 62nd Street,Queens,405,Q54,Not Applicable,40.7126105502,-73.8986358962,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9074835800415 40.771665728560365),4,Queens,401,22,36,13,14,4030,238,Bus Route,backless 2,04/26/2018,22-73 Steinway Street,22-73 Steinway Street,Steinway Street,23rd Avenue & Ditmars Boulevard,Queens,401,Q101,Not Applicable,40.771674,-73.907485,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75318163904649 40.60298875595709),4,Queens,414,31,23,10,5,2446,1736,Plaza,backed,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602997,-73.753183,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.75798962874175 40.74016672946497),4,Queens,411,23,24,11,6,3347,212,Municipal Facilities,backed,07/07/2016,73-28 Bell Boulevard,73-28 Bell Boulevard,Bell Boulevard,73rd Avenue & 73rd Road,Queens,411,Not Applicable,Not Applicable,40.740175,-73.757991,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88039159034955 40.741366733890096),4,Queens,404,25,39,16,6,4218,647,Bus Route,backed 2,01/24/2019,8290 Broadway,8290 Broadway,Broadway,Whitney Avenue & 45th Avenue,Queens,404,Q52,Not Applicable,40.741375,-73.880393,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85824659608207 40.750851730681426),4,Queens,404,21,39,13,14,2360,938,Senior Center,backed,02/07/2014,108-74 Roosevelt Avenue,108-74 Roosevelt Avenue,Roosevelt Avenue,108th & 11th Street,Queens,404,Not Applicable,Not Applicable,40.75086,-73.858248,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74407863226409 40.765377724177746),4,Queens,411,19,26,11,3,1536,420,General,backless,02/05/2013,242-03 Northern Boulevard,242 - 03 Northern Boulevard,Northern Boulevard,Douglaston Parkway and 243rd Street,Queens,411,Q12,Not Applicable,40.765386,-73.74408,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82136061152356 40.69573274068258),4,Queens,409,28,24,10,5,4034,472,Bus Route,backless,04/27/2018,126-98 Atlantic Avenue,126-98 Atlantic Avenue,Atlantic Avenue,125th Street & 127th Street,Queens,409,Q24,Not Applicable,40.695741,-73.821362,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83143560738655 40.70603273845518),4,Queens,409,29,27,14,6,3627,73,General,backed 2,05/13/2017,119-20 Metropolitan Avenue,119-20 Metropolitan Avenue,Metropolitan Avenue,Lefferts Blvd & Brevoort Street,Queens,409,Not Applicable,Not Applicable,40.706041,-73.831437,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89392658596421 40.739908734751545),4,Queens,402,26,34,12,6,3543,2331,Bus Route,backless,12/09/2016,70-01 Queens Boulevard,70-01 Queens Boulevard,Queens Boulevard,70th Street & 74th Street,Queens,402,Q60,Not Applicable,40.739917,-73.893928,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9149405761265 40.77912972714888),4,Queens,401,22,36,12,14,1908,663,General,backed,06/18/2013,24-17 Ditmars Boulevard,24-17 Ditmars Boulevard,Ditmars Boulevard,Crescent Street & 24th Street,Queens,401,Not Applicable,Not Applicable,40.779138,-73.914942,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77090762327842 40.76344472566204),4,Queens,411,19,26,11,6,1514,329,BID,backed,01/28/2013,41-06 Bell Blvd,41-06 Bell Blvd,Bell Blvd,41st and 42nd Avenues,Queens,411,Not Applicable,Bell Blvd BBA,40.763453,-73.770909,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9052845835307 40.71119474020672),4,Queens,405,30,37,15,6,3308,2343,Municipal Facilities,backed,05/27/2016,62-85 Forest Avenue,62-85 Forest Avenue,Forest Avenue,Bleecker Street & Metropolitan Avenue,Queens,405,Not Applicable,Not Applicable,40.711203,-73.905286,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93201457306992 40.752233733153915),4,Queens,401,26,37,12,12,2068,766,Community Health Centers,backed,08/05/2013,32-03 39th Avenue,32-03 39th Avenue,32nd Street,38th and 39th Avenues,Queens,401,Not Applicable,Not Applicable,40.752242,-73.932016,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.82854061628088 40.582290762907725),4,Queens,414,32,23,15,5,2977,1655,Municipal Facilities,backless,02/02/2015,10640 Rockaway Beach Boulevard,10640 Rockaway Beach Boulevard,Rockaway Beach Boulevard,Beach 107th Street and Beach 108th Street,Queens,414,Q53,Not Applicable,40.582299,-73.828542,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.7848956196836 40.75787772705761),4,Queens,411,19,26,11,6,2546,944,Municipal Facilities,backed,06/11/2014,196-30 Northern Boulevard,196-30 Northern Boulevard,Northern Boulevard,Francis Lewis Boulevard and 196th Street,Queens,411,Not Applicable,Not Applicable,40.757886,-73.784897,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83154560960912 40.67957574368895),4,Queens,410,28,31,10,5,3245,1764,Municipal Facilities,backed,05/18/2016,108-10 109th Avenue,108-10 109th Avenue,109th Avenue,108th Street & 109th Street,Queens,410,Not Applicable,Not Applicable,40.679584,-73.831547,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8406186080741 40.66221974751463),4,Queens,410,32,23,15,8,4228,449,Bus Route,backless,01/31/2019,157-05 Cross Bay Blvd,157-05 Cross Bay Blvd,Cross Bay Blvd,157th Avenue & 158th Avenue,Queens,410,Q52,Not Applicable,40.662228,-73.84062,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-73.78314562410621 40.69004574037373),4,Queens,412,27,32,14,5,2324,1029,Senior Center,backed,02/10/2014,166-01 Linden Blvd,166-01 Linden Blvd,Linden Blvd,166th & 167th Street,Queens,412,Not Applicable,Not Applicable,40.690054,-73.783147,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.83210860789174 40.70101374023239),4,Queens,409,29,27,10,5,2295,1105,General,backed,12/09/2013,118-14 Hillside Avenue,118-14 Hillside Avenue,Hillside Avenue,Lefferts Blvd & Babbage Street,Queens,409,Not Applicable,Not Applicable,40.701022,-73.83211,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.837322613975 40.58000276346626),4,Queens,414,32,23,15,5,1949,1493,BID,backed,12/02/2014,211 Beach 116th Street,211 Beach 116th Street,Beach 116th Street,Rockaway Beach Blvd & Newport Avenue,Queens,414,Not Applicable,Beach 116th Street Partnership,40.580011,-73.837324,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.72312063951264 40.761568724598405),4,Queens,411,23,26,11,3,3170,1996,General,backed,09/14/2015,58-20 Little Neck Parkway,58-20 Little Neck Parkway,Little Neck Parkway,58th Avenue & 60th Avenue,Queens,411,Not Applicable,Not Applicable,40.761577,-73.723122,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75318163904649 40.60298875595709),4,Queens,414,31,23,10,5,2446,1812,Plaza,backed,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602997,-73.753183,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,379,Plaza,backless 2,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88742758771748 40.73770973455666),4,Queens,404,25,39,16,6,3307,2347,Municipal Facilities,backed,06/07/2016,50-40 Jacobus Street,50-40 Jacobus Street,Jacobus Street,51st Avenue & Queens Boulevard,Queens,404,Not Applicable,Not Applicable,40.737718,-73.887429,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.75410763964777 40.59600275744432),4,Queens,414,31,23,10,5,3599,2332,General,backless,12/09/2016,233 Beach 20th Street,233 Beach 20th Street,Beach 20th Street,Plainview Avenue & Seagirt Blvd,Queens,414,Q22,Not Applicable,40.596011,-73.754109,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.75318163904649 40.60298875595709),4,Queens,414,31,23,10,5,2446,1866,Plaza,backed,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602997,-73.753183,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.87241959216391 40.75316873142538),4,Queens,403,21,34,13,14,3942,691,Senior Safety,backed 2,02/06/2018,95-12A 35th Avenue,95-12A 35th Avenue,35th Avenue,95th Street & Junction Blvd,Queens,403,Not Applicable,Not Applicable,40.753177,-73.872421,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,0,Plaza,backed 2,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92414957450808 40.76818472970373),4,Queens,401,22,36,12,12,2441,925,Health Care Facilities,backless,05/07/2014,27-15 30th Avenue,27-15 30th Avenue,30th Avenue,27th Street and 29th Street,Queens,401,Q102,Not Applicable,40.768193,-73.924151,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93966057010427 40.750083734076306),4,Queens,402,26,37,12,12,3585,77,General,backless 2,01/23/2017,27-10 Queens Plaza South,27-10 Queens Plaza South,Queens Plaza South,27th Street & 28th Street,Queens,402,Q100,Long Island City,40.750092,-73.939662,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.92673157379048 40.757300732523845),4,Queens,401,26,36,12,12,2748,1557,Municipal Facilities,backed,11/06/2014,33-09 35th Avenue,33-09 35th Avenue,35th Avenue,33rd Street & 34th Street,Queens,401,Not Applicable,Not Applicable,40.757309,-73.926733,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91947157706485 40.7432477347187),4,Queens,402,26,37,12,14,2514,1294,BID,backed,07/25/2014,45-03 Queens Boulevard,45-03 Queens Boulevard,Queens Boulevard,45th Street & 46th Street,Queens,402,Not Applicable,Sunnyside Shines,40.743256,-73.919473,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86576459550267 40.73648673405212),4,Queens,404,25,35,16,6,3969,508,Senior Safety,backless 2,02/14/2018,57-10 Junction Blvd,57-10 Junction Blvd,Junction Blvd,57th Street & 58th Street,Queens,404,Q72,Not Applicable,40.736495,-73.865766,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.88244158816465 40.75586673106597),4,Queens,403,25,34,13,14,1998,955,General,backed,09/30/2013,85-01 Northern Boulevard,85-01 Northern Boulevard,Northern Boulevard,85th & 86th Street,Queens,403,Not Applicable,Not Applicable,40.755875,-73.882443,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81351460920341 40.788072722226666),4,Queens,407,19,26,11,3,2167,815,General,backed,09/23/2013,14-31 150th Street,14-31 150th Street,150th Street,Cross Island Parkway and 14th Avenue,Queens,407,Not Applicable,Not Applicable,40.788081,-73.813516,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80441961837965 40.67460574362088),4,Queens,410,28,31,10,5,3244,2371,Municipal Facilities,backed,05/18/2016,134-02 Rockaway Boulevard,134-02 Rockaway Boulevard,Rockaway Boulevard,134th Street & 135th Street,Queens,410,Not Applicable,Not Applicable,40.674614,-73.804421,X,AREA OF MINIMAL FLOOD HAZARD,6
