the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-74.19203050285665 40.528083786428425),5,Staten Island,503,51,62,24,11,760,398,General,backless,12/21/2012,100 Luten Avenue,100 Luten Avenue,Luten Avenue,Eylandt Street & Deisius Street,Staten Island,503,S55,Not Applicable,40.528092,-74.192032,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.07571153332051 40.635691761441514),5,Staten Island,501,49,61,23,11,1677,339,Bus Route,backless,01/29/2013,263 Bay Street,263 Bay Street,Bay Street,Hannah Street & Swan Street,Staten Island,501,S78,Not Applicable,40.6357,-74.075713,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-74.06643553911871 40.59803576846733),5,Staten Island,502,50,64,23,11,1666,429,Bus Route,backless,12/21/2012,134 McClean Avenue,134 McClean Avenue,McClean Avenue,Conger Street & Hastings Street,Staten Island,502,S53,Not Applicable,40.598044,-74.066437,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.10951952667443 40.57068377554694),5,Staten Island,502,50,64,24,11,3196,2056,General,backed,04/13/2016,2488 Hylan Boulevard,2488 Hylan Boulevard,Hylan Boulevard,Jacques Avenue & New Dorp Lane,Staten Island,502,S78,Not Applicable,40.570692,-74.109521,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.11750752068873 40.63657876268457),5,Staten Island,501,49,61,23,11,2064,728,Community Health Centers,backless,08/08/2013,221 Broadway,221 Broadway,Broadway,Henderson Avenue and Winegar Lane,Staten Island,501,S54,Not Applicable,40.636587,-74.117509,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.09755852637677 40.64180976118439),5,Staten Island,501,49,61,23,11,2757,1612,General,backed,08/13/2014,145 Cassidy Place,145 Cassidy Place,Cassidy Place,Linton Avenue & Lafayette Avenue,Staten Island,501,Not Applicable,Not Applicable,40.641818,-74.09756,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.08315253245696 40.61625876493338),5,Staten Island,501,49,61,23,11,4006,232,Bus Route,backless 2,05/03/2018,386 Vanderbilt Avenue,386 Vanderbilt Avenue,Vanderbilt Avenue,Roff Street & Irving Place,Staten Island,501,S76,Not Applicable,40.616267,-74.083154,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.11405752235308 40.629182763779134),5,Staten Island,501,49,61,24,11,1679,33,Bus Route,backless,01/29/2013,738 Forest Avenue,738 Forest Avenue,Forest Avenue,N. Burghar Avenue & Broadway,Staten Island,501,S48,Not Applicable,40.629191,-74.114059,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.16731850477659 40.62750076620115),5,Staten Island,501,49,63,23,11,1901,538,General,backed,05/01/2013,2324 Forest Avenue,2324 Forest Avenue,Forest Avenue,South Avenue & Lilac Street,Staten Island,501,S40,Not Applicable,40.627509,-74.16732,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-74.16430314903889 40.626958394010174),5,Staten Island,501,49,63,23,11,3663,113,Bus Route,backless 2,06/07/2017,2239 Forrest Avenue,2239 Forrest Avenue,Forrest Avenue,Grandview Avenue & Samuel Place,Staten Island,501,S48,Not Applicable,40.626958394,-74.164303149,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-74.11232552593772 40.57184577501972),5,Staten Island,502,50,64,24,11,2501,1178,Municipal Facilities,backed,06/05/2014,309 New Dorp Lane,309 New Dorp Lane,New Dorp Lane,Edison Street and Clawson Street,Staten Island,502,Not Applicable,Not Applicable,40.571854,-74.112327,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.14174151336925 40.62463676526273),5,Staten Island,501,50,61,24,11,1676,111,Bus Route,backless,01/29/2013,1600 Forest Avenue,1600 Forest Avenue,Forest Avenue,Crystal Avenue & Decker Avenue,Staten Island,501,S48,Not Applicable,40.624645,-74.141743,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.19203050285665 40.528083786428425),5,Staten Island,503,51,62,24,11,760,422,General,backless,12/21/2012,100 Luten Avenue,100 Luten Avenue,Luten Avenue,Eylandt Street & Deisius Street,Staten Island,503,S55,Not Applicable,40.528092,-74.192032,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.09648752718704 40.641879760707894),5,Staten Island,501,49,61,23,11,2326,619,Senior Center,backed,03/14/2014,125 Cassidy Place,125 Cassidy Place,Cassidy Place,Clinton Avenue & Lafayette Avenue,Staten Island,501,Not Applicable,Not Applicable,40.641888,-74.096489,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.09984352911819 40.58012977301342),5,Staten Island,502,50,64,24,11,1675,364,Bus Route,backless,01/29/2013,2051 Hylan Boulevard,2051 Hylan Boulevard,Hylan Boulevard,Adams Avenue & Hunter Avenue,Staten Island,502,S78,Not Applicable,40.580138,-74.099845,AE,,2
POINT (-74.09883152996815 40.5749017735277),5,Staten Island,502,50,64,24,11,2888,1952,Municipal Facilities,backless,02/23/2015,Midland Playground,442 Midland Avenue,Midland Avenue,Boundary Avenue and Mason Avenue,Staten Island,502,S51,Not Applicable,40.57491,-74.098833,AE,,2
POINT (-74.08164153285769 40.620338764199495),5,Staten Island,501,49,61,23,11,3571,2,General,backed 2,01/28/2017,101 Warren Street,101 Warren Street,Warren Street,Hill Street & Coursen Center,Staten Island,501,Not Applicable,Not Applicable,40.620347,-74.081643,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.14429551202626 40.63151476461568),5,Staten Island,501,49,61,23,11,2642,1209,Municipal Facilities,backed,08/11/2014,168 Hooker Place,168 Hooker Place,Walker Street,Tranton Place,Staten Island,501,Not Applicable,Not Applicable,40.631523,-74.144297,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.11804452023132 40.636871762259716),5,Staten Island,501,49,61,23,11,2230,1070,Community Health Centers,backless,10/28/2013,778 Henderson Avenue,778 Henderson Avenue,Broadway,Campbell Avenue and Henderson Avenue,Staten Island,501,S54,Not Applicable,40.63688,-74.118046,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.13263251899505 40.57117877554751),5,Staten Island,503,50,62,24,11,2640,1613,Municipal Facilities,backed,08/06/2014,30 Natick Street,30 Natick Street,Natick Street,Mapplewood Avenue and Wilder Avenue,Staten Island,503,Not Applicable,Not Applicable,40.571187,-74.132634,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.09553653114848 40.58352277211703),5,Staten Island,502,50,64,24,11,4148,488,General,backed 2,03/14/2019,1880 Hylan Boulevard,1880 Hylan Boulevard,Hylan Boulevard,Seaver Avenue & Slater Boulevard,Staten Island,502,S78,Not Applicable,40.583531,-74.095538,AE,,2
POINT (-74.13291751538317 40.63658976334889),5,Staten Island,501,49,61,23,11,2641,1601,Municipal Facilities,backed,08/11/2014,161 Park Avenue,161 Park Avenue,Park Avenue,New Street and Vreeland Street,Staten Island,501,Not Applicable,Not Applicable,40.636598,-74.132919,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.06720653730875 40.61555076523398),5,Staten Island,501,49,64,23,11,947,410,General,backless,12/21/2012,1125 Bay Street,1125 Bay Street,Bay Street,St. Marys Avenue & Virginia Avenue,Staten Island,501,S51,Not Applicable,40.615559,-74.067208,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.16221450732644 40.6100787689956),5,Staten Island,502,50,63,24,11,2683,1618,Municipal Facilities,backed,08/11/2014,55 Merrill Avenue,55 Merrill Avenue,Merrill Avenue,Richmond Avenue & Hillman Avenue,Staten Island,502,Not Applicable,Not Applicable,40.610087,-74.162216,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.16190322562996 40.626690064558495),5,Staten Island,501,49,63,23,11,3664,150,Bus Route,backless 2,06/08/2017,2171 Forrest Avenue,2171 Forrest Avenue,Forrest Avenue,Grandview Avenue & Samuel Place,Staten Island,501,S48,Not Applicable,40.6266900646,-74.1619032256,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-74.11942451996896 40.628526763922),5,Staten Island,501,49,61,24,11,1678,423,Bus Route,backless,01/29/2013,888 Forest Avenue,888 Forest Avenue,Forest Avenue,Elizabeth Street & Clove Road,Staten Island,501,S48,Not Applicable,40.628535,-74.119426,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.17735950730372 40.541235783265655),5,Staten Island,503,51,62,24,11,3474,2336,General,backed,12/20/2016,856 Annadale Road,856 Annadale Road,Annadale Road,Belfield Avenue & Jefferson Boulevard,Staten Island,503,S55,Not Applicable,40.541244,-74.177361,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.09772052947217 40.59056177100801),5,Staten Island,502,50,63,24,11,2645,1508,Municipal Facilities,backed,08/06/2014,50 Jefferson Street,50 Jefferson Street,Jefferson Street,Cromwell Avenue and Garretson Avenue,Staten Island,502,Not Applicable,Not Applicable,40.59057,-74.097722,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.07692153256737 40.64150976010138),5,Staten Island,501,49,61,23,11,2231,1067,Community Health Centers,backless,10/28/2013,5 Central Avenue,5 Central Avenue,Central Avenue,Hyatt Street and Slosson Terrace,Staten Island,501,S4252,Not Applicable,40.641518,-74.076923,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.06718153881232 40.59089376939007),5,Staten Island,502,50,64,23,11,3211,1906,Municipal Facilities,backed,04/13/2016,351 Sand Lane,351 Sand Lane,Sand Lane,Father Capodanno Boulevard & Sand Court,Staten Island,502,Not Applicable,Not Applicable,40.590902,-74.067183,AE,,1
POINT (-74.15372550909187 40.62565876622741),5,Staten Island,501,49,61,23,11,1682,378,Bus Route,backless,01/29/2013,1941 Forest Avenue,1941 Forest Avenue,Forest Avenue,Simonson Avenue & Van Name Avenue,Staten Island,501,S48,Not Applicable,40.625667,-74.153727,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.10240352823863 40.577826773739915),5,Staten Island,502,50,64,24,11,3656,2346,Senior Safety,backed,12/27/2016,2154 Hylan Blvd,2154 Hylan Blvd,Hylan Blvd,Midland Avenue & Zwicky Avenue,Staten Island,502,Not Applicable,Not Applicable,40.577835,-74.102405,AE,,2
POINT (-74.1116955263816 40.57148877536821),5,Staten Island,502,50,64,24,11,3654,2338,Senior Safety,backed,12/27/2016,324 New Dorp Lane,324 New Dorp Lane,New Dorp Lane,Clawson Street & Hylan Blvd.,Staten Island,502,Not Applicable,Not Applicable,40.571497,-74.111697,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.09596552644749 40.641929760265576),5,Staten Island,501,49,61,23,11,2756,1177,General,backed,06/05/2014,115 Cassidy Place,Cassidy Place,Cassidy Place,Clinton Avenue & Lafayette Avenue,Staten Island,501,Not Applicable,Not Applicable,40.641938,-74.095967,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.11690225531065 40.5740142835453),5,Staten Island,502,50,62,24,11,3665,16,Bus Route,backed 2,01/28/2017,33 New Dorp Plaza South,33 New Dorp Plaza South,New Dorp Lane,N. Railroad Avenue & S. Railroad Avenue,Staten Island,502,S76,Not Applicable,40.5740142835,-74.1169022553,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.13501951434463 40.63561276353485),5,Staten Island,501,49,61,23,11,2065,764,Community Health Centers,backed,08/08/2013,235 Port Richmond Avenue,235 Port Richmond Avenue,Port Richmond Avenue,Anderson and Castleton Avenues,Staten Island,501,Not Applicable,Not Applicable,40.635621,-74.135021,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.07914054090361 40.639699290345575),5,Staten Island,501,49,61,23,11,2650,1606,Municipal Facilities,backed,08/13/2014,80 Monroe Street,80 Monroe Street,Monroe Street,Benziger Avenue and Victory Boulevard,Staten Island,501,Not Applicable,Not Applicable,40.6396992903,-74.0791405409,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.13915051416708 40.62433176585406),5,Staten Island,501,50,61,24,11,2378,614,General,backed,03/25/2014,1520 Forest Avenue,1520 Forest Avenue,Forest Avenue,Crystal Avenue & Marianne Street,Staten Island,501,S48,Not Applicable,40.62434,-74.139152,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.1978955001748 40.54437178328439),5,Staten Island,503,51,62,24,11,1817,479,General,backed,03/06/2013,455 Huguenot Avenue,929 Woodrow Road,Woodrow Road,Woodrow Road & Boulder Street,Staten Island,503,S56,Not Applicable,40.54438,-74.197897,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.07397453452971 40.64146776000642),5,Staten Island,501,49,61,23,11,2517,1276,Municipal Facilities,backless,08/13/2014,5 Bay Street,5 Bay Street,Bay Street,Stuyvesant Place and Ferry Terminal Viaduct,Staten Island,501,S42,Not Applicable,40.641476,-74.073976,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-74.06298753995515 40.59564476885723),5,Staten Island,502,50,64,23,11,2503,817,Municipal Facilities,backed,06/05/2014,21 Robin Road,21 Robin Road,Robin Road,Ocean Avenue and Father Capodanno Boulevard,Staten Island,502,Not Applicable,Not Applicable,40.595653,-74.062989,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.12094452072182 40.6066877683714),5,Staten Island,502,49,63,24,11,3992,473,Bus Route,backless 2,05/03/2018,819 Manor Road,819 Manor Road,Manor Road,Shmidts Lane & Westwood Avenue,Staten Island,502,S54,Not Applicable,40.606696,-74.120946,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.09175653110994 40.60511376750188),5,Staten Island,502,50,63,24,11,3413,2355,General,backed,12/20/2016,11 Ralph Place,11 Ralph Place,Ralph Place,Richmond Road & Targee Street,Staten Island,502,Not Applicable,Not Applicable,40.605122,-74.091758,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.08340453063508 40.64788175894332),5,Staten Island,501,49,61,23,11,3302,13,Municipal Facilities,backed 2,01/28/2017,300 Richmond Terrace,300 Richmond Terrace,Richmond Terrace,Nicholas Street & St Peters Place,Staten Island,501,Not Applicable,Not Applicable,40.64789,-74.083406,X,AREA OF MINIMAL FLOOD HAZARD,
